Weather_Condition,Accident_Count,Percentage
FAIR,73999,30.8
MOSTLY CLOUDY,32144,13.38
CLEAR,31047,12.92
CLOUDY,26511,11.04
PARTLY CLOUDY,19528,8.13
LIGHT RAIN,15529,6.46
OVERCAST,15087,6.28
SCATTERED CLOUDS,7541,3.14
FOG,3985,1.66
RAIN,3764,1.57
