Category,Avg_Severity,Accident_Count
Cold (32-50°F),2.3774013934641287,34303
Cool (50-70°F),2.3395561695881186,57905
Freezing (<32°F),2.382488715633976,19496
Warm (>70°F),2.4106594531364234,54712
