City,Avg_Severity,Accident_Count,Std_Dev,Severe_Accidents_Pct
Derby,2.2444444444444445,135,0.6285100441694553,14.07
Roswell,2.243992606284658,541,0.5865671884890075,17.56
Pendergrass,2.24,175,0.5356272507295892,20.0
Maysville,2.233009708737864,103,0.5277381164106487,18.45
Stratford,2.231707317073171,1394,0.4610909194799045,21.59
Lilburn,2.225806451612903,124,0.6225923992210264,16.94
Savannah,2.216834755624515,2578,0.5285006253393171,19.55
New Britain,2.2101648351648353,728,0.5123573109241927,16.21
Greenwich,2.2025577557755778,2424,0.42785017777733564,19.18
Middletown,2.199052132701422,1266,0.48031516543785907,16.35
Mableton,2.198757763975155,161,0.49774335475721715,16.77
Stone Mountain,2.1822721598002497,801,0.5354767323016514,14.11
Shelton,2.1739130434782608,414,0.5195412878734882,11.11
Berlin,2.165898617511521,217,0.5444486242877473,8.76
Cumming,2.16,350,0.5273059604548693,10.57
Meriden,2.14050822122571,2676,0.4249986954654555,12.26
Glastonbury,2.140401146131805,349,0.49165549521559715,8.6
Woodbridge,2.1363636363636362,176,0.5055535734068304,6.82
Alpharetta,2.113156100886162,1467,0.40225836488927763,9.75
Trumbull,2.1054502369668247,844,0.4184574975263384,6.99
Hamden,2.098984771573604,394,0.4133263375894562,5.84
New Canaan,2.0673758865248226,282,0.3025388311068568,5.32
Old Greenwich,2.0594059405940595,101,0.23756187312857346,5.94
Augusta,2.026702596766291,12246,0.34056953365888426,5.41
Hephzibah,1.9774058577405857,1195,0.3304607693299774,1.84
