Severity_Level,With_Blocked_Count,With_Blocked_Pct,Without_Blocked_Count,Without_Blocked_Pct
1,224,0.25661293833270327,855,0.55906469457413
2,32185,36.8709259832056,112403,73.49771796984321
3,53224,60.97306709740982,24389,15.94740214733153
4,1658,1.899393981051884,15287,9.995815188251141
