Combination,Accident_Count,Percentage,Avg_Severity,Difference_from_Baseline
Road Closed at Night,10294,4.285149339161203,3.164853312609287,0.705184252353277
Blocks + No Traffic Light,83484,34.752419606618794,2.656976187053807,0.19730712679779705
Blocks + Intersection,7170,2.9847018420231035,2.460111576011158,0.00044251575514797636
Multi-Vehicle at Intersection,240,0.09990633780830471,2.341666666666667,-0.11800239358934306
Slow Traffic During Rush Hour,5795,2.412321781663024,2.2037963761863675,-0.25587268406964236
