Situation,Accident_Count,Percentage_of_Total,Avg_Severity,Severe_Accidents_Pct,vs_Baseline_Avg,vs_Baseline_Severe
High Risk Intersection (Junction + Crossing + No Roundabout),396,0.16484545738370276,2.659090909090909,63.888888888888886,0.19942184883489933,24.526624345231895
Junction + No Traffic Signal + Crossing,198,0.08242272869185138,2.6565656565656566,64.64646464646465,0.19689659630964673,25.28420010280766
Junction + Traffic Signal,309,0.12862940992819233,2.517799352750809,47.57281553398058,0.058130292494799285,8.21055099032359
Railway Crossing + No Signal,843,0.3509210115516703,2.5029655990510085,36.5361803084223,0.04329653879499862,-2.8260842352346884
School Zone (Amenity + Crossing),440,0.18316161931522532,2.0863636363636364,6.59090909090909,-0.3733054238923734,-32.7713554527479
