Time_Period,Accidents,Percentage,Avg_Severity
Late Night,21854,9.097304610261213,2.4796833531618927
Morning,83511,34.76365906962223,2.407036198824107
Afternoon,69599,28.972421688000832,2.471256770930617
Evening,40540,16.875845561452802,2.4978539713862853
Night,24721,10.29076907066292,2.5245337971764896
